id_szkoly,lat,lng,geolocalizer_count,location_type
14147,50.4055099,16.5096819,1,ROOFTOP
14149,50.30079569999999,16.6364912,1,ROOFTOP
14150,50.3002017,16.6525356,1,ROOFTOP
14153,50.51056699999999,16.6445634,2,APPROXIMATE
14154,50.3451398,16.8802785,1,ROOFTOP
14155,50.40460410000001,16.290299100000002,1,GEOMETRIC_CENTER
14157,50.2148267,16.6785457,1,GEOMETRIC_CENTER
14158,50.5139007,16.5772158,1,APPROXIMATE
14159,50.6199136,16.475321599999994,1,APPROXIMATE
14161,50.5276937,16.4877441,1,APPROXIMATE
14162,50.4987816,16.3844843,1,GEOMETRIC_CENTER
14163,50.5204352,16.500232399999998,1,GEOMETRIC_CENTER
14164,50.292927399999996,16.8709032,1,RANGE_INTERPOLATED
14165,50.4119089,16.5148115,1,APPROXIMATE
14166,50.420528999999995,16.431178,1,ROOFTOP
14167,51.27238149999999,15.9290643,1,APPROXIMATE
14168,51.27117399999999,15.933997,1,ROOFTOP
14169,51.21109310000001,16.159575099999998,1,ROOFTOP
14170,51.227308799999996,16.2501318,1,GEOMETRIC_CENTER
14171,51.1429474,16.2446111,1,GEOMETRIC_CENTER
14172,51.2086939,16.1743166,1,ROOFTOP
14173,51.280281,16.364887,1,ROOFTOP
14175,51.10448359999999,15.2922916,1,ROOFTOP
14176,51.11787649999999,15.2825239,1,ROOFTOP
14177,51.118854,15.2956966,1,ROOFTOP
14179,50.90855699999999,15.3409736,1,ROOFTOP
14181,51.02363339999999,15.2678471,1,ROOFTOP
14182,51.121536600000006,15.28205,4,APPROXIMATE
14183,51.06545999999999,15.375779000000001,1,ROOFTOP
14184,51.0465767,15.179129199999998,1,APPROXIMATE
14185,51.1202318,15.2918546,1,RANGE_INTERPOLATED
14186,51.405078,16.2047888,1,ROOFTOP
14187,51.40068529999999,16.171464999999998,1,ROOFTOP
14188,51.40785289999999,16.1741924,1,ROOFTOP
14189,51.3915953,16.2054044,1,ROOFTOP
14190,51.385444899999996,16.2147769,1,ROOFTOP
14191,51.4013447,16.1851783,1,ROOFTOP
14192,51.389093599999995,16.206132999999998,1,ROOFTOP
14193,51.403616,16.2096217,1,ROOFTOP
14194,51.3999398,16.2008758,1,ROOFTOP
14195,51.404202500000004,16.1938917,1,APPROXIMATE
14196,51.51079259999999,16.261384,1,GEOMETRIC_CENTER
14197,51.539932,16.4452854,1,GEOMETRIC_CENTER
14198,51.413042,16.429329,1,ROOFTOP
14199,51.0326445,15.4146217,1,GEOMETRIC_CENTER
14200,51.0116902,15.5112874,1,GEOMETRIC_CENTER
14202,51.1170881,15.6151646,1,GEOMETRIC_CENTER
14203,51.1170881,15.6151646,1,GEOMETRIC_CENTER
14204,51.1099453,15.5867076,1,RANGE_INTERPOLATED
14205,50.965358200000004,15.378724700000001,1,RANGE_INTERPOLATED
14206,51.01604889999999,15.6718081,1,GEOMETRIC_CENTER
14207,51.621879,17.363642499999994,1,GEOMETRIC_CENTER
14208,51.151301000000004,17.036956399999998,1,RANGE_INTERPOLATED
14211,51.525872,17.2733997,1,ROOFTOP
14212,51.52733929999999,17.2761687,1,ROOFTOP
14213,51.5006208,17.1725301,1,GEOMETRIC_CENTER
14214,51.5341636,17.563533800000002,1,APPROXIMATE
14215,51.527168100000004,17.275253399999997,1,RANGE_INTERPOLATED
14216,51.517472100000006,17.2615232,1,ROOFTOP
14217,51.209387,17.3906652,1,ROOFTOP
14218,51.2053081,17.3769911,1,ROOFTOP
14219,51.21085979999999,17.3899203,1,ROOFTOP
14220,51.2125969,17.385886300000006,1,ROOFTOP
14221,51.12744,17.545248,1,ROOFTOP
14222,51.212593,17.3660382,1,ROOFTOP
14223,51.3026035,17.3397947,1,APPROXIMATE
14225,51.39471320000001,17.664479,1,GEOMETRIC_CENTER
14226,51.2085848,17.409359,1,RANGE_INTERPOLATED
14227,51.308805,17.718587,1,ROOFTOP
14228,51.364233899999995,17.461774399999996,1,RANGE_INTERPOLATED
14229,51.3644719,17.4699701,1,RANGE_INTERPOLATED
14230,50.9474489,17.3012935,1,GEOMETRIC_CENTER
14231,50.9508437,17.2883713,1,GEOMETRIC_CENTER
14232,50.9461655,17.2809177,1,GEOMETRIC_CENTER
14233,50.9504961,17.2825871,1,APPROXIMATE
14234,50.90114819999999,17.1482559,1,APPROXIMATE
14235,50.9342693,17.1793717,1,APPROXIMATE
14236,51.0349764,17.331495,1,ROOFTOP
14237,51.03265649999999,17.315789499999998,2,RANGE_INTERPOLATED
14238,51.020230700000006,17.4646407,1,GEOMETRIC_CENTER
14239,51.10217309999999,17.0343108,2,ROOFTOP
14240,50.9508437,17.2883713,1,GEOMETRIC_CENTER
14241,51.41699600000001,15.903054000000001,1,ROOFTOP
14242,51.62854650000001,15.885171599999998,1,GEOMETRIC_CENTER
14243,51.5890812,16.1983526,1,APPROXIMATE
14244,51.5115139,16.0765414,1,ROOFTOP
14245,51.5007605,16.0728554,1,ROOFTOP
14246,51.52246299999999,15.781469,1,ROOFTOP
14247,51.571220200000006,15.9345576,1,GEOMETRIC_CENTER
14248,51.388288700000004,16.849528600000006,1,GEOMETRIC_CENTER
14249,50.761734000000004,16.935505600000006,1,APPROXIMATE
14250,50.687496,17.167237,1,APPROXIMATE
14251,50.7829068,17.071408399999996,1,GEOMETRIC_CENTER
14252,50.7713123,17.0538448,1,GEOMETRIC_CENTER
